Mys Dobré nadějě
Manhattan
New York
Socha Svobody
Empire State Building
Eiffelova věž
Central Park
Wall Street
Times Square
Alcatraz
Nagasaki
Hirošima
Černobyl
Fukušima
Dalas
Brněnský orloj
Blaník
Příčná ulice
Lampa na rohu ulice
Restaurace na Klamovce
